County	County / Sector (NAICS)	Natural gas	Net electricity	Diesel	Other	LPG NGL	Residual fuel oil	Coal	Coke and breeze
Livingston	3327. Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing	804	764	112	2	61	0	0	0
Livingston	3331. Agriculture, Construction, and Mining Machinery Manufacturing	294	442	97	2	53	0	0	0
Livingston	3332. Industrial Machinery Manufacturing	294	442	97	2	53	0	0	0
Livingston	3333. Commercial and Service Industry Machinery Manufacturing	882	1,327	291	5	158	0	0	0
Livingston	3335. Metalworking Machinery Manufacturing	9,142	13,665	494	84	803	0	0	0
Livingston	3339. Other General Purpose Machinery Manufacturing	4,182	5,467	690	11	456	0	0	0
Livingston	3353. Electrical Equipment Manufacturing	783	1,257	36	5	20	0	0	0
Livingston	3359. Other Electrical Equipment and Component Manufacturing	783	1,257	36	5	20	0	0	0
Livingston	3371. Household and Institutional Furniture and Kitchen Cabinet Manufacturing	93	112	26	70	14	0	0	0
Livingston	3372. Office Furniture (including Fixtures) Manufacturing	47	56	13	35	7	0	0	0
Livingston	3399. Other Miscellaneous Manufacturing	145	175	7	7	4	2	0	0
Monroe	1111. Oilseed and Grain Farming	0	8,513	22,659	7,999	10,246	6,314	0	0
Monroe	1112. Vegetable and Melon Farming	0	10,115	12,987	4,585	5,873	3,619	0	0
Monroe	1113. Fruit and Tree Nut Farming	0	4,891	5,096	1,799	2,305	1,420	0	0
Monroe	1114. Greenhouse, Nursery, and Floriculture Production	0	18,855	29,380	10,372	13,286	8,187	0	0
Monroe	1119. Other Crop Farming	0	4,072	6,057	2,138	2,739	1,688	0	0
Monroe	1121. Cattle Ranching and Farming	0	7,550	10,289	3,632	4,653	2,867	0	0
Monroe	1122. Hog and Pig Farming	0	0	0	0	0	0	0	0
Monroe	1123. Poultry and Egg Production	0	686	466	165	211	130	0	0
Monroe	1124. Sheep and Goat Farming	0	534	507	179	229	141	0	0
Monroe	1129. Other Animal Production	0	7,540	6,120	2,161	2,767	1,705	0	0
Monroe	2123. Nonmetallic Mineral Mining and Quarrying	11,174	33,189	33,882	18,980	0	11,525	34,659	0
Monroe	2369. Building Construction (unclassified)	44,416	94,632	164,074	0	6,070	0	0	0
Monroe	2378. Heavy and Civil Engineering Construction (unclassified)	11,727	29,594	197,873	0	30,839	0	0	0
Monroe	2388. Specialty Trade Contractors (unclassified)	221,534	177,616	769,385	0	31,970	0	0	0
Monroe	3114. Fruit and Vegetable Preserving and Specialty Food Manufacturing	296,831	119,359	1,666	2,247	1,975	804	4,491	0
Monroe	3115. Dairy Product Manufacturing	47,248	28,250	2,149	55,662	350	4,653	0	0
Monroe	3116. Animal Slaughtering and Processing	30,120	27,614	6,446	4,913	350	1,551	1,567	0
Monroe	3121. Beverage Manufacturing	298,857	236,441	3,835	8,435	792	98,778	0	0
Monroe	3132. Fabric Mills	6,749	6,166	70	1	38	17	0	0
Monroe	3133. Textile and Fabric Finishing and Fabric Coating Mills	20,247	18,497	209	3	113	50	0	0
Monroe	3141. Textile Furnishings Mills	1,631	533	2,075	29	70	0	8	0
Monroe	3149. Other Textile Product Mills	96,226	31,246	26,079	2,958	2,160	0	1,743	0
Monroe	3152. Cut and Sew Apparel Manufacturing	3,227	2,186	1,132	0	1,418	0	0	0
Monroe	3159. Apparel Accessories and Other Apparel Manufacturing	8	9	22	0	12	0	0	0
Monroe	3169. Other Leather and Allied Product Manufacturing	1,920	6,934	267	40	145	64	0	0
Monroe	3219. Other Wood Product Manufacturing	9,383	25,819	3,729	3,344	2,023	0	0	0
Monroe	3221. Pulp, Paper, and Paperboard Mills	436,570	117,148	1,117	151,958	909	0	162,933	0
Monroe	3231. Printing and Related Support Activities	105,788	163,348	1,497	1,180	1,466	924	0	0
Monroe	3241. Petroleum and Coal Products Manufacturing	14,583	2,508	11,592	87	314	139	0	0
Monroe	3251. Basic Chemical Manufacturing	270,287	99,700	2,639	23,153	2,778	0	0	0
Monroe	3252. Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing	54,709	27,640	737	3,306	538	55	0	0
Monroe	3254. Pharmaceutical and Medicine Manufacturing	56,846	23,898	6,162	718	592	0	0	0
Monroe	3259. Other Chemical Product and Preparation Manufacturing	300,832	286,460	23,228	1,255,037	10,478	56,664	0	0
Monroe	3261. Plastics Product Manufacturing	389,164	840,926	3,676	8,254	31,645	0	102,550	0
Monroe	3271. Clay Product and Refractory Manufacturing	15,647	3,767	871	130	472	0	0	0
Monroe	3272. Glass and Glass Product Manufacturing	68,656	36,856	3,287	1,355	2,547	0	2,149	0
Monroe	3311. Iron and Steel Mills and Ferroalloy Manufacturing	230,487	145,041	1,457	104,548	791	0	1,771	4,298
Monroe	3313. Alumina and Aluminum Production and Processing	15,060	12,087	1,397	209	758	336	0	0
Monroe	3315. Foundries	2,191	264	0	91	331	0	0	0
Monroe	3321. Forging and Stamping	35,902	32,610	1,249	110	1,401	0	0	0
Monroe	3322. Cutlery and Handtool Manufacturing	2,413	2,293	336	5	182	0	0	0
Monroe	3323. Architectural and Structural Metals Manufacturing	39,120	35,668	1,696	117	1,643	0	0	0
Monroe	3324. Boiler, Tank, and Shipping Container Manufacturing	12,860	12,141	292	50	476	0	0	0
Monroe	3325. Hardware Manufacturing	64,736	34,035	1,068	212	1,388	0	0	0
Monroe	3326. Spring and Wire Product Manufacturing	1,072	1,019	149	2	81	0	0	0
Monroe	3327. Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing	140,006	123,886	7,101	338	6,016	0	0	0
Monroe	3328. Coating, Engraving, Heat Treating, and Allied Activities	5,899	5,606	821	13	445	0	0	0
Monroe	3329. Other Fabricated Metal Product Manufacturing	58,409	52,570	2,130	169	2,285	0	0	0
Monroe	3331. Agriculture, Construction, and Mining Machinery Manufacturing	882	1,327	291	5	158	0	0	0
Monroe	3332. Industrial Machinery Manufacturing	64,219	75,317	4,052	505	4,798	0	0	0
Monroe	3333. Commercial and Service Industry Machinery Manufacturing	708,055	76,969	4,338	297	4,287	0	0	0
Monroe	3335. Metalworking Machinery Manufacturing	90,957	94,690	8,353	632	7,053	0	0	0
Monroe	3336. Engine, Turbine, and Power Transmission Equipment Manufacturing	588	884	194	3	105	0	0	0
Monroe	3339. Other General Purpose Machinery Manufacturing	24,107	32,879	2,671	118	2,311	0	0	0
Monroe	3344. Semiconductor and Other Electronic Component Manufacturing	93,425	195,568	1,300	1,687	1,807	2,268	0	0
Monroe	3351. Electric Lighting Equipment Manufacturing	7,277	10,006	153	23	105	0	0	4
Monroe	3353. Electrical Equipment Manufacturing	15,709	25,089	271	172	244	0	0	5
Monroe	3359. Other Electrical Equipment and Component Manufacturing	17,275	27,603	344	183	283	0	0	6
Monroe	3371. Household and Institutional Furniture and Kitchen Cabinet Manufacturing	747	900	208	559	113	0	0	0
Monroe	3372. Office Furniture (including Fixtures) Manufacturing	234	281	65	175	35	0	0	0
Monroe	3379. Other Furniture Related Product Manufacturing	93	112	26	70	14	0	0	0
Monroe	3391. Medical Equipment and Supplies Manufacturing	90,950	80,090	1,131	16,312	400	3,095	0	0
Monroe	3399. Other Miscellaneous Manufacturing	13,129	14,196	373	390	230	65	0	0
Ontario	1111. Oilseed and Grain Farming	0	17,276	45,985	16,234	20,794	12,814	0	0
Ontario	1112. Vegetable and Melon Farming	0	9,826	12,616	4,454	5,705	3,515	0	0
Ontario	1113. Fruit and Tree Nut Farming	0	6,878	7,167	2,530	3,241	1,997	0	0
Ontario	1114. Greenhouse, Nursery, and Floriculture Production	0	10,153	15,820	5,585	7,154	4,408	0	0
Ontario	1119. Other Crop Farming	0	8,713	12,961	4,576	5,861	3,612	0	0
Ontario	1121. Cattle Ranching and Farming	0	54,944	73,453	25,931	33,215	20,468	0	0
Ontario	1122. Hog and Pig Farming	0	256	293	103	132	82	0	0
Ontario	1123. Poultry and Egg Production	0	2,744	1,864	658	843	519	0	0
Ontario	1124. Sheep and Goat Farming	0	559	532	188	240	148	0	0
Ontario	1129. Other Animal Production	0	7,540	6,120	2,161	2,767	1,705	0	0
Ontario	2123. Nonmetallic Mineral Mining and Quarrying	5,422	15,171	18,519	10,372	0	5,118	11,978	0
Ontario	2369. Building Construction (unclassified)	8,900	18,963	32,879	0	1,216	0	0	0
Ontario	2378. Heavy and Civil Engineering Construction (unclassified)	3,157	7,968	53,274	0	8,303	0	0	0
Ontario	2388. Specialty Trade Contractors (unclassified)	44,920	36,015	156,008	0	6,483	0	0	0
Ontario	3112. Grain and Oilseed Milling	457,831	232,065	6,704	0	21,818	12,903	0	0
Ontario	3114. Fruit and Vegetable Preserving and Specialty Food Manufacturing	58,879	35,682	569	517	628	703	891	0
Ontario	3116. Animal Slaughtering and Processing	4,303	3,945	921	702	50	222	224	0
Ontario	3121. Beverage Manufacturing	51,577	51,938	809	486	708	5,380	0	0
Ontario	3149. Other Textile Product Mills	1,631	533	2,075	29	70	0	8	0
Ontario	3162. Footwear Manufacturing	960	3,467	134	20	72	32	0	0
Ontario	3219. Other Wood Product Manufacturing	3,312	9,113	1,316	1,180	714	0	0	0
Ontario	3231. Printing and Related Support Activities	1,021	1,967	57	8	31	14	0	0
Ontario	3241. Petroleum and Coal Products Manufacturing	89,048	12,669	24,179	181	931	46	0	0
Ontario	3259. Other Chemical Product and Preparation Manufacturing	3,171	3,817	882	2,637	478	212	0	0
Ontario	3261. Plastics Product Manufacturing	211,853	451,091	1,899	4,923	4,335	0	33,110	0
Ontario	3262. Rubber Product Manufacturing	635	1,721	22	3	120	0	48	0
Ontario	3272. Glass and Glass Product Manufacturing	1,988,409	51,965	830	124	583	0	339	0
Ontario	3279. Other Nonmetallic Mineral Product Manufacturing	7,087	4,266	986	147	535	0	0	0
Ontario	3313. Alumina and Aluminum Production and Processing	15,060	12,087	1,397	209	758	336	0	0
Ontario	3321. Forging and Stamping	268	255	37	1	20	0	0	0
Ontario	3323. Architectural and Structural Metals Manufacturing	1,341	1,274	186	3	101	0	0	0
Ontario	3324. Boiler, Tank, and Shipping Container Manufacturing	4,421	3,527	239	4	174	0	0	0
Ontario	3327. Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing	28,268	24,761	1,307	66	1,160	0	0	0
Ontario	3328. Coating, Engraving, Heat Treating, and Allied Activities	536	510	75	1	40	0	0	0
Ontario	3329. Other Fabricated Metal Product Manufacturing	215,370	143,070	6,412	1,869	1,840	0	0	0
Ontario	3331. Agriculture, Construction, and Mining Machinery Manufacturing	588	884	194	3	105	0	0	0
Ontario	3332. Industrial Machinery Manufacturing	588	884	194	3	105	0	0	0
Ontario	3333. Commercial and Service Industry Machinery Manufacturing	588	884	194	3	105	0	0	0
Ontario	3334. Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing	882	1,327	291	5	158	0	0	0
Ontario	3335. Metalworking Machinery Manufacturing	882	1,327	291	5	158	0	0	0
Ontario	3339. Other General Purpose Machinery Manufacturing	13,618	19,574	1,281	97	1,312	0	0	0
Ontario	3353. Electrical Equipment Manufacturing	1,566	2,514	73	11	39	0	0	1
Ontario	3359. Other Electrical Equipment and Component Manufacturing	6,494	8,749	117	17	85	0	0	3
Ontario	3371. Household and Institutional Furniture and Kitchen Cabinet Manufacturing	234	281	65	175	35	0	0	0
Ontario	3372. Office Furniture (including Fixtures) Manufacturing	1,332	1,341	140	376	103	0	0	0
Ontario	3391. Medical Equipment and Supplies Manufacturing	145	175	7	7	4	2	0	0
Ontario	3399. Other Miscellaneous Manufacturing	436	525	20	21	11	5	0	0
Orleans	1111. Oilseed and Grain Farming	0	8,388	22,326	7,882	10,096	6,221	0	0
Orleans	1112. Vegetable and Melon Farming	0	7,370	9,462	3,340	4,279	2,637	0	0
Orleans	1113. Fruit and Tree Nut Farming	0	7,642	7,963	2,811	3,601	2,219	0	0
Orleans	1114. Greenhouse, Nursery, and Floriculture Production	0	3,626	5,650	1,995	2,555	1,574	0	0
Orleans	1119. Other Crop Farming	0	5,298	7,881	2,782	3,564	2,196	0	0
Orleans	1121. Cattle Ranching and Farming	0	14,561	19,748	6,972	8,930	5,503	0	0
Orleans	1123. Poultry and Egg Production	0	2,058	1,398	494	632	390	0	0
Orleans	1124. Sheep and Goat Farming	0	127	121	43	55	34	0	0
Orleans	1129. Other Animal Production	0	6,606	5,362	1,893	2,425	1,494	0	0
Orleans	2123. Nonmetallic Mineral Mining and Quarrying	8,955	18,640	15,812	8,293	0	5,775	27,162	0
Orleans	2131. Support Activities for Mining	4,274	510	3,651	1,475	0	900	0	0
Orleans	2369. Building Construction (unclassified)	3,111	6,628	11,492	0	425	0	0	0
Orleans	2378. Heavy and Civil Engineering Construction (unclassified)	1,579	3,984	26,637	0	4,151	0	0	0
Orleans	2388. Specialty Trade Contractors (unclassified)	11,833	9,487	41,095	0	1,708	0	0	0
Orleans	3121. Beverage Manufacturing	2,980	3,015	120	18	65	231	0	0
Orleans	3132. Fabric Mills	609,497	296,342	621	148	909	90	0	0
Orleans	3219. Other Wood Product Manufacturing	552	1,519	219	197	119	0	0	0
Orleans	3231. Printing and Related Support Activities	255	492	14	2	8	3	0	0
Orleans	3251. Basic Chemical Manufacturing	1,849,133	76,239	11,818	6,463	6,410	0	0	0
Orleans	3261. Plastics Product Manufacturing	4,285	9,800	61	9	433	0	554	0
Orleans	3323. Architectural and Structural Metals Manufacturing	804	764	112	2	61	0	0	0
Orleans	3327. Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing	1,341	1,274	186	3	101	0	0	0
Orleans	3328. Coating, Engraving, Heat Treating, and Allied Activities	4,421	3,527	239	4	174	0	0	0
Orleans	3332. Industrial Machinery Manufacturing	3,301	4,140	399	6	298	0	0	0
Orleans	3334. Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing	294	442	97	2	53	0	0	0
Orleans	3339. Other General Purpose Machinery Manufacturing	294	442	97	2	53	0	0	0
Orleans	3372. Office Furniture (including Fixtures) Manufacturing	4,725	5,650	215	6,262	350	0	0	0
Orleans	3391. Medical Equipment and Supplies Manufacturing	59,355	54,390	698	14,490	57	3,024	0	0
Orleans	3399. Other Miscellaneous Manufacturing	291	350	13	14	7	3	0	0
Seneca	1111. Oilseed and Grain Farming	0	12,394	32,990	11,646	14,918	9,193	0	0
Seneca	1112. Vegetable and Melon Farming	0	1,879	2,412	851	1,091	672	0	0
Seneca	1113. Fruit and Tree Nut Farming	0	10,699	11,149	3,936	5,041	3,107	0	0
Seneca	1114. Greenhouse, Nursery, and Floriculture Production	0	2,659	4,143	1,463	1,874	1,155	0	0
Seneca	1119. Other Crop Farming	0	2,758	4,103	1,449	1,856	1,143	0	0
Seneca	1121. Cattle Ranching and Farming	0	52,330	69,809	24,645	31,567	19,452	0	0
Seneca	1122. Hog and Pig Farming	0	183	209	74	95	58	0	0
Seneca	1123. Poultry and Egg Production	0	6,174	4,195	1,481	1,897	1,169	0	0
Seneca	1124. Sheep and Goat Farming	0	458	435	154	197	121	0	0
Seneca	1129. Other Animal Production	0	3,069	2,491	880	1,127	694	0	0
Seneca	2123. Nonmetallic Mineral Mining and Quarrying	2,187	6,711	6,151	3,446	0	2,365	7,900	0
Seneca	2369. Building Construction (unclassified)	2,333	4,971	8,619	0	319	0	0	0
Seneca	2378. Heavy and Civil Engineering Construction (unclassified)	1,353	3,415	22,832	0	3,558	0	0	0
Seneca	2388. Specialty Trade Contractors (unclassified)	8,984	7,203	31,202	0	1,297	0	0	0
Seneca	3115. Dairy Product Manufacturing	4,479	2,696	1,246	2,980	68	300	0	0
Seneca	3116. Animal Slaughtering and Processing	4,303	3,945	921	702	50	222	224	0
Seneca	3121. Beverage Manufacturing	99,869	85,718	1,697	254	1,196	1,310	0	0
Seneca	3231. Printing and Related Support Activities	255	492	14	2	8	3	0	0
Seneca	3241. Petroleum and Coal Products Manufacturing	2,430	418	1,932	14	52	23	0	0
Seneca	3313. Alumina and Aluminum Production and Processing	13,229	13,016	11,173	1,670	9,091	0	0	0
Seneca	3322. Cutlery and Handtool Manufacturing	268	255	37	1	20	0	0	0
Seneca	3323. Architectural and Structural Metals Manufacturing	268	255	37	1	20	0	0	0
Seneca	3327. Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing	804	764	112	2	61	0	0	0
Seneca	3328. Coating, Engraving, Heat Treating, and Allied Activities	268	255	37	1	20	0	0	0
Seneca	3332. Industrial Machinery Manufacturing	588	884	194	3	105	0	0	0
Seneca	3339. Other General Purpose Machinery Manufacturing	48,995	56,227	4,180	1,275	385	0	0	0
Seneca	3372. Office Furniture (including Fixtures) Manufacturing	93	112	26	70	14	0	0	0
Seneca	3391. Medical Equipment and Supplies Manufacturing	12,098	14,472	114	1,018	157	195	0	0
Seneca	3399. Other Miscellaneous Manufacturing	436	525	20	21	11	5	0	0
Wayne	1111. Oilseed and Grain Farming	0	16,775	44,652	15,764	20,192	12,442	0	0
Wayne	1112. Vegetable and Melon Farming	0	7,225	9,277	3,275	4,195	2,585	0	0
Wayne	1113. Fruit and Tree Nut Farming	0	26,289	27,394	9,671	12,387	7,633	0	0
Wayne	1114. Greenhouse, Nursery, and Floriculture Production	0	10,878	16,950	5,984	7,665	4,723	0	0
Wayne	1119. Other Crop Farming	0	5,561	8,272	2,920	3,740	2,305	0	0
Wayne	1121. Cattle Ranching and Farming	0	31,156	41,959	14,813	18,974	11,692	0	0
Wayne	1122. Hog and Pig Farming	0	511	586	207	265	163	0	0
Wayne	1123. Poultry and Egg Production	0	5,831	3,961	1,399	1,791	1,104	0	0
Wayne	1124. Sheep and Goat Farming	0	737	701	247	317	195	0	0
Wayne	1129. Other Animal Production	0	6,205	5,037	1,778	2,278	1,404	0	0
Wayne	2123. Nonmetallic Mineral Mining and Quarrying	8,386	16,159	15,844	8,309	0	4,786	21,300	0
Wayne	2369. Building Construction (unclassified)	6,222	13,256	22,983	0	850	0	0	0
Wayne	2378. Heavy and Civil Engineering Construction (unclassified)	2,030	5,122	34,247	0	5,338	0	0	0
Wayne	2388. Specialty Trade Contractors (unclassified)	39,661	31,799	137,744	0	5,724	0	0	0
Wayne	3114. Fruit and Vegetable Preserving and Specialty Food Manufacturing	151,390	63,468	643	1,311	990	687	2,512	0
Wayne	3121. Beverage Manufacturing	1,986	2,010	80	12	43	154	0	0
Wayne	3211. Sawmills and Wood Preservation	1,822	1,880	724	433	39	17	9	0
Wayne	3219. Other Wood Product Manufacturing	16,455	38,116	2,596	2,328	1,875	0	0	0
Wayne	3231. Printing and Related Support Activities	383	738	21	3	12	5	0	0
Wayne	3241. Petroleum and Coal Products Manufacturing	7,291	1,254	5,796	43	157	70	0	0
Wayne	3251. Basic Chemical Manufacturing	6,179	16,735	430	1,285	233	0	0	0
Wayne	3261. Plastics Product Manufacturing	38,922	67,824	173	327	2,416	0	11,320	0
Wayne	3262. Rubber Product Manufacturing	1,906	5,163	66	10	360	0	145	0
