	July  	July  	July  	July  	July  	July  	July  	July  	July  	July 	 July 
County  	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Albany  	303997	303858	303739	304733	304078	305019	306384	307496	308295	308432	308846
Allegany  	49359	49079	49177	48969	48949	48818	48247	48005	47765	47407	47077
Bronx	1348164	1354056	1363488	1376261	1388240	1399990	1414774	1426550	1437687	1449196	1455720
Broome  	200905	200877	201029	200935	200469	199459	198916	198370	197669	196618	195334
Cattaraugus 	81342	81056	80761	80491	80249	79839	79365	78958	78621	77909	77677
Cayuga  	80892	80629	80482	80172	79844	79811	79637	79242	78857	78316	77861
Chautauqua  	135640	135481	135229	135197	134760	134266	133438	133005	131980	130811	129504
Chemung  	88732	88634	88503	88849	88972	88988	89264	88498	87506	87120	86322
Chenango  	51391	51463	51326	50639	50371	50254	49919	49522	49432	48979	48579
Clinton  	82547	82556	82401	82280	82068	81852	81869	81749	81682	81154	81073
Columbia  	63427	63430	63253	63023	63017	62626	62539	62269	62013	61491	60989
Cortland  	49449	49624	49537	49358	49245	49497	49154	49038	48875	48429	48070
Delaware  	48271	48450	48363	48182	47877	47654	47330	46874	46600	46074	45523
Dutchess  	294712	295319	296267	296887	297757	298289	297213	296708	295903	295228	294473
Erie  	925564	921887	920571	919334	919220	920088	920792	922150	923702	922957	921046
Essex  	39490	39373	39435	39478	39288	39479	39114	38832	38572	38371	38102
Franklin  	51511	51782	51907	51706	51624	51568	51788	51242	51092	50502	50409
Fulton  	55328	55489	55584	55558	55468	55264	55033	54521	54145	53960	53828
Genesee  	59919	59930	59895	59932	59939	59923	59762	59262	58949	58810	58482
Greene  	49513	49537	49467	49372	49118	48992	48711	48416	48015	47695	47508
Hamilton  	4987	4969	4893	4858	4834	4834	4797	4760	4689	4698	4542
Herkimer  	64029	64343	64404	64381	64426	64615	64527	64122	63602	62924	62613
Jefferson  	113650	115059	115033	115023	116571	118161	120730	119112	118724	117260	114006
Kings  	2436132	2441324	2460361	2487751	2510240	2543667	2572282	2595344	2612544	2624941	2629150
Lewis  	27001	27086	26878	27047	27063	27087	27267	27168	27214	27022	26865
Livingston  	65357	65460	65637	65420	65234	64890	64854	64723	64692	64583	64257
Madison  	72042	72709	73075	73169	73431	72970	72490	72547	72306	71771	71329
Monroe  	738329	739249	741018	743386	744959	747714	748947	750367	750089	749048	747727
Montgomery 	49724	49798	49951	50001	50286	49932	49848	49789	49747	49673	49276
Nassau  	1324905	1322048	1325129	1332088	1341879	1346815	1350748	1354258	1357799	1359702	1361500
New York  	1578171	1581402	1587022	1583431	1588530	1609533	1625121	1630453	1634468	1641168	1643734
Niagara  	216148	215791	215793	216043	216489	215729	214841	214267	213484	212522	211758
Oneida  	234229	234488	234482	234619	234836	234292	234061	233800	233213	232025	231190
Onondaga  	460925	461287	463472	465633	467522	467913	467712	469328	468742	468275	466194
Ontario  	104644	105216	106302	107214	108218	108750	108801	109285	109684	109654	109828
Orange  	366908	368464	370201	372079	373484	374358	374100	374956	375814	377130	379210
Orleans  	43420	43342	43254	42975	42846	42693	42465	42328	41947	41604	41346
Oswego  	122354	122213	122366	122055	122129	121999	121551	121321	120744	119962	118987
Otsego  	63032	62914	62561	62280	62192	61982	61805	61558	60907	60530	60097
Putnam  	99357	99454	99537	99666	99827	99958	99717	99678	99478	99265	98900
Queens  	2173862	2177351	2193623	2217166	2235310	2259756	2278024	2297598	2314149	2327228	2333054
Rensselaer  	157312	158243	159011	159150	159347	159694	159669	159862	160092	160101	160070
Richmond  	457577	459642	463701	466965	469706	471152	470978	472515	473142	473969	476015
Rockland  	299390	301668	305413	308652	312533	315772	317763	320321	322855	325491	326780
St. Lawrence  	111556	111586	111684	112169	111821	112468	112621	112253	111800	110935	110038
Saratoga  	214627	215798	217282	218652	220094	221166	222553	224207	224692	226140	227053
Schenectady  	151768	152275	153360	154050	154896	154673	154945	154964	155006	154758	154553
Schoharie  	32661	32894	32890	32776	32688	32662	32086	31872	31690	31372	31317
Schuyler  	18752	18707	18644	18398	18309	18492	18579	18502	18301	18199	18099
Seneca  	35223	35469	35370	35286	35246	35353	35380	35272	34904	34848	34777
Steuben  	98473	98541	98726	98949	98990	99272	99064	98952	98253	97546	96940
Suffolk  	1475626	1475255	1480218	1487206	1494747	1500259	1499382	1500776	1500008	1497903	1492583
Sullivan  	77231	77991	77755	77647	77412	77104	76952	76919	75667	74751	74801
Tioga  	51536	51565	51498	51236	51000	50945	50303	50128	49793	49261	48760
Tompkins  	99651	99910	100383	101497	101774	102111	103135	104270	104498	104564	104871
Ulster  	182845	182818	183174	182638	182408	182647	181811	180987	180680	179824	179225
Warren  	65554	65740	65848	65694	65678	65694	65418	65145	64882	64544	64567
Washington  	62771	63054	63252	63077	63321	63112	63066	62777	62442	62238	61800
Wayne  	93595	93539	93739	93643	93756	93260	93012	92393	91829	91340	90798
Westchester  	931426	933414	937449	944201	950588	957052	961073	967377	970255	972900	974542
Wyoming  	42673	42515	42281	42236	42118	41930	41771	41431	41200	41004	40791
Yates  	25025	25234	25352	25303	25349	25387	25271	25154	25130	25051	24923
